Social Metrics Scorecard IG,,2026,JAN,,,,,FEB,,,,MAR,,,,APR,,,,MAY,,,,JUN,,,,,JUL,,,,AUG,,,,,SEP,,,,OCT,,,,NOV,,,,,DEC,,,,,2026,,,,,,,,,,,,2026,,,,2026,2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026,,,,,,,,,,,,2026,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mighty Scout Data @Bioptimizers TikTok,KPIs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mighty Scout Data @Bioptimizers TikTok - @Btioptimizers TikTok | Follower Count #,@Btioptimizers TikTok | Follower Count #,,"10,944","11,007","11,616","11,296","11,396","11,539","11,606","11,830","11,914","12,185","12,222","12,340","12,428","12,560","12,655","12,752","12,913","13,021","13,081","13,348","13,700","14,119","14,530","14,774","15,005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,252","11,722","12,294","12,720","13,288","14,607",,,,,,,"11,717","13,538",,,"12,591",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mighty Scout Data @Bioptimizers TikTok - Follower Count # Rate | Period - over - Period,Follower Count # Rate | Period - over - Period,,,1%,5%,-3%,1%,1%,1%,2%,1%,2%,0%,1%,1%,1%,1%,1%,1%,1%,0%,2%,3%,3%,3%,2%,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4%,5%,3%,4%,9%,,,,,,,,13%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mighty Scout Data @Bioptimizers TikTok - @BIOptimizers TikTok | New Followers,@BIOptimizers TikTok | New Followers,,,63,609,-320,100,143,67,224,84,271,37,118,88,132,95,97,161,108,60,267,352,419,411,244,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452,518,514,485,787,"1,305",,,,,,,"1,484","2,577",,,"4,061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mighty Scout Data @Bioptimizers TikTok - New Followers Growth Rate | Period - over - Period,New Followers Growth Rate | Period - over - Period,,,100%,90%,290%,420%,30%,-113%,70%,-167%,69%,-632%,69%,-34%,33%,-39%,2%,40%,-49%,-80%,78%,24%,16%,-2%,-68%,-6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13%,-1%,-6%,38%,40%,,,,,,,,42%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mighty Scout Data @Bioptimizers TikTok - Profle Posted,Profle Posted,,39,35,39,32,46,45,33,32,63,44,56,55,56,52,27,24,35,35,21,40,55,30,20,21,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191,173,211,138,151,89,,,,,,,575,377,,,953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mighty Scout Data @Bioptimizers TikTok - Total EMV Rate | Period - over - Period,Total EMV Rate | Period - over - Period,,,-11%,10%,-22%,30%,-2%,-36%,-3%,49%,-43%,21%,-2%,2%,-8%,-93%,-13%,31%,0%,-67%,48%,27%,-83%,-50%,5%,-17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10%,18%,-53%,9%,-70%,,,,,,,,-52%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mighty Scout Data @Bioptimizers TikTok - Impressions	,Impressions	,,"46,580","231,034","185,377","45,941","55,928","140,671","38,830","138,047","186,878","240,831","66,243","463,568","172,718","62,015","24,529","16,535","99,540","30,714","18,189","102,832","149,501","78,281","87,525","38,775","1,393,560",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"564,860","504,426","943,360","202,619","301,236","1,598,141",,,,,,,"2,012,646","2,101,994",,,"4,114,642 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mighty Scout Data @Bioptimizers TikTok - Impressions Rate | Period - over - Period,Impressions Rate | Period - over - Period,,,80%,-25%,-304%,18%,60%,-262%,72%,26%,22%,-264%,86%,-168%,-179%,-153%,-48%,83%,-224%,-69%,82%,31%,-91%,11%,-126%,97%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12%,47%,-366%,33%,81%,,,,,,,,4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mighty Scout Data @Bioptimizers TikTok - Reach,Reach,,"1,602,552","2,101,028","2,109,484","966,588","2,685,099","3,626,519","1,674,039","2,155,096","3,415,766","2,351,105","2,766,755","3,687,893","5,496,741","3,866,723","1,344,464","1,461,466","4,577,906","2,505,493","1,767,571","3,985,112","4,246,247","1,998,630","467,969","2,570,416","6,055,815",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,464,751","10,871,420","14,302,494","11,250,559","12,504,423","11,092,830",,,,,,,"34,638,665","34,847,806",,,"69,486,477 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mighty Scout Data @Bioptimizers TikTok - Reach Rate | Period - over - Period,Reach Rate | Period - over - Period,,,24%,0%,-118%,64%,26%,-117%,22%,37%,-45%,15%,25%,33%,-42%,-188%,8%,68%,-83%,-42%,56%,6%,-112%,-327%,82%,58%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13%,24%,-27%,10%,-13%,,,,,,,,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mighty Scout Data @Bioptimizers TikTok - Engagement (Likes, Comments, Shares)","Engagement (Likes, Comments, Shares)",,"2,044","13,368","18,214","2,282","2,117","6,888","1,920","3,686","4,603","24,887","2,017","5,734","4,477","2,105","1,139",795,"4,994","1,773","1,072","3,726","6,081","3,476","3,009","1,276","7,639",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"38,025","17,097","37,115","9,033","12,652","15,400",,,,,,,"92,237","37,080",,,"129,322 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mighty Scout Data @Bioptimizers TikTok - Engagement Rate | Period - over - Period,Engagement Rate | Period - over - Period,,,85%,27%,-698%,-8%,69%,-259%,48%,20%,82%,-1134%,65%,-28%,-113%,-85%,-43%,84%,-182%,-65%,71%,39%,-75%,-16%,-136%,83%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-122%,54%,-311%,29%,18%,,,,,,,,-149%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mighty Scout Data @Bioptimizers TikTok - Engagement Rate | Period - over - Period,Engagement Rate,,0.13%,0.64%,0.86%,0.24%,0.08%,0.19%,0.11%,0.17%,0.13%,1.06%,0.07%,0.16%,0.08%,0.05%,0.08%,0.05%,0.11%,0.07%,0.06%,0.09%,0.14%,0.17%,0.64%,0.05%,0.13%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.40%,0.16%,0.26%,0.08%,0.10%,0.14%,,,,,,,0.27%,0.11%,,,0.19%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRIN Data @Bioptimizers IG - Sales Generated | Period - over - Period - Combined Reach | Period - over - Period - Engagement Rate | Period - over - Period,Engagement Rate | Period - over - Period,,,80%,26%,-266%,-199%,58%,-66%,33%,-27%,87%,-1352%,53%,-91%,-50%,36%,-56%,50%,-54%,-17%,35%,35%,18%,73%,-1195%,61%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mighty Scout Data @Bioptimizers TikTok - Media Posted,Media Posted,,68,58,47,49,78,85,46,86,129,77,113,127,117,76,39,34,41,50,28,56,95,42,37,35,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,346,434,190,229,142,,,,,,,"1,080",546,,,1641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mighty Scout Data @Bioptimizers TikTok - Media Posted Rate | Period - over - Period,Media Posted Rate | Period - over - Period,,,-17%,-23%,4%,37%,8%,-85%,47%,33%,-68%,32%,11%,-9%,-54%,-95%,-15%,17%,18%,-79%,50%,41%,-126%,-14%,-6%,-25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13%,20%,-128%,17%,-61%,,,,,,,,-98%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mighty Scout Data @Bioptimizers TikTok - Earned Media Value,Earned Media Value,,"$1,627","$8,086","$6,488","$1,610","$1,951","$4,923","$1,361","$4,834","$4,080","$8,430","$2,206","$16,228","$6,042","$1,474",$857,$577,"$3,486","$1,073",$635,"$3,598","$5,232","$2,739","$3,063","$1,360","$48,775",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$19,762","$15,198","$32,906","$6,394","$10,538","$55,937",,,,,,,"$67,866","$72,866",,,"$140,732",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mighty Scout Data @Bioptimizers TikTok - Media Value Rate | Period - over - Period,Media Value Rate | Period - over - Period,,,80%,-25%,-303%,17%,60%,-262%,72%,-18%,52%,-282%,86%,-169%,-310%,-72%,-49%,83%,-225%,-69%,82%,31%,-91%,11%,-125%,97%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-30%,54%,-415%,39%,81%,,,,,,,,7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRIN Data @Bioptimizers TikTok,KPIs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mighty Scout Data @Bioptimizers IG - Media Value Rate | Period - over - Period - Spend,Spend,,"$4,875","$2,775","$2,825","$2,725","$4,575","$2,500","$1,350",$100,"$4,200","$2,950","$4,075","$1,300","$3,230","$7,225","$6,400","$2,317","$3,775","$8,450",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$17,775","$8,150","$11,555","$19,717","$8,450",,,,,,,,"$37,480","$28,167",,,"$65,647",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mighty Scout Data @Bioptimizers IG - Media Value Rate | Period - over - Period - Sales Generated | Period - over - Period,Sales Generated | Period - over - Period,,,-76%,2%,-4%,40%,-83%,-85%,-1250%,98%,-42%,28%,-213%,60%,55%,-13%,-176%,39%,55%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-118%,29%,41%,-133%,,,,,,,,,-33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mighty Scout Data @Bioptimizers IG - Media Value Rate | Period - over - Period - EMV,EMV,,"$12,807","$122,921","$12,277","$10,593","$18,047","$9,493","$10,004","$12,976","$28,863","$3,526","$8,205","$10,272","$32,065","$15,119","$5,537","$5,678","$6,367","$14,553",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$176,645","$61,337","$54,068","$32,701","$14,553",,,,,,,,"$292,049","$47,253",,,"$339,303",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mighty Scout Data @Bioptimizers IG - Media Value Rate | Period - over - Period - Earned Media Value | Period - over - Period,Earned Media Value | Period - over - Period,,,90%,-901%,-16%,41%,-90%,5%,23%,55%,-719%,57%,20%,68%,-112%,-173%,2%,11%,56%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-188%,-13%,-65%,-125%,,,,,,,,,-518%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mighty Scout Data @Bioptimizers IG - Media Value Rate | Period - over - Period - IMV ROI,IMV ROI,,2.63,44.30,4.35,3.89,3.94,3.80,7.41,129.76,6.87,1.20,2.01,7.90,9.93,2.09,0.87,2.45,1.69,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.82,36.96,5.26,1.78,1.72,,,,,,,,17.54,0.67,,,13.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mighty Scout Data @Bioptimizers IG - Media Value Rate | Period - over - Period - Total Number of Content Pieces | Period - over - Period,Total Number of Content Pieces | Period - over - Period,,,94%,-918%,-12%,1%,-4%,49%,94%,-1789%,-473%,40%,75%,20%,-375%,-140%,64%,-45%,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68%,-603%,-196%,-3%,,,,,,,,,-2532%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mighty Scout Data @Bioptimizers IG - Media Value Rate | Period - over - Period - Activated Creators,Activated Creators,,5,2,8,1,0,4,1,0,0,4,5,2,1,0,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,5,12,4,2,,,,,,,,33,1,,,39 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mighty Scout Data @Bioptimizers IG - Media Value Rate | Period - over - Period - Total Number of Content Pieces | Period - over - Period,Total Number of Content Pieces | Period - over - Period,,,-150%,75%,-700%,,100%,-300%,,,100%,20%,-150%,-100%,,100%,-100%,0%,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-220%,58%,-200%,-100%,,,,,,,,,-3016%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mighty Scout Data @Bioptimizers IG - Media Value Rate | Period - over - Period - Content Delivered,Content Delivered,,24,21,15,20,31,13,17,16,42,7,17,22,30,30,9,20,21,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111,88,76,80,36,,,,,,,,275,117,,,391 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mighty Scout Data @Bioptimizers IG - Media Value Rate | Period - over - Period - Total Number of Content Pieces | Period - over - Period,Total Number of Content Pieces | Period - over - Period,,,-14%,-40%,25%,35%,-138%,24%,-6%,62%,-500%,59%,23%,27%,0%,-233%,55%,5%,42%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-26%,-16%,5%,-122%,,,,,,,,,-136%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mighty Scout Data @Bioptimizers IG - Media Value Rate | Period - over - Period - Video Views,Video Views,,"31,179","443,500","35,887","24,884","45,487","25,503","24,285","61,619","79,578","8,221","18,323","22,889","106,144","35,890","14,435","10,053","14,404","27,628",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"580,937","190,985","155,577","74,782","27,628",,,,,,,,"927,499","102,409",,,"1,029,909 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mighty Scout Data @Bioptimizers IG - Media Value Rate | Period - over - Period - Total Number of Content Pieces | Period - over - Period,Total Number of Content Pieces | Period - over - Period,,,93%,-1136%,-44%,45%,-78%,-5%,61%,23%,-868%,55%,20%,78%,-196%,-149%,-44%,30%,48%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-204%,-23%,-108%,-171%,,,,,,,,,-806%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mighty Scout Data @Bioptimizers IG - Media Value Rate | Period - over - Period - Impressions,Impressions,,"31,179","443,500","35,887","24,884","45,487","25,503","24,285","61,619","79,578","8,221","18,323","22,889","106,144","35,890","14,435","10,053","14,404","27,628",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"580,937","190,985","155,577","74,782","27,628",,,,,,,,"927,499","102,407",,,"1,029,909 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mighty Scout Data @Bioptimizers IG - Media Value Rate | Period - over - Period - Total Number of Content Pieces | Period - over - Period,Total Number of Content Pieces | Period - over - Period,,,93%,-1136%,-44%,45%,-78%,-5%,61%,23%,-868%,55%,20%,78%,-196%,-149%,-44%,30%,48%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-204%,-23%,-108%,-171%,,,,,,,,,-806%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mighty Scout Data @Bioptimizers IG - Media Value Rate | Period - over - Period - eCPM,eCPM,,156.36,6.26,78.72,109.51,100.58,98.03,55.59,1.62,52.78,358.84,222.40,56.80,30.43,201.31,443.37,230.44,269.00,305.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.29,52.01,167.12,286.03,305.85,,,,,,,,102.15,144.69,,,154.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mighty Scout Data @Bioptimizers IG - Media Value Rate | Period - over - Period - Total Number of Content Pieces | Period - over - Period,Total Number of Content Pieces | Period - over - Period,,,-2398%,92%,28%,-9%,-3%,-76%,-3331%,97%,85%,-61%,-292%,-87%,85%,55%,-92%,14%,12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74%,69%,42%,6%,,,,,,,,,29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mighty Scout Data @Bioptimizers IG - Media Value Rate | Period - over - Period - Engagements,Engagements,,"1,210","37,562","1,594","1,214","2,061","1,720","1,480","2,779","3,173",335,941,831,"1,161","1,866",615,486,984,"1,385",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"43,641","9,152","3,268","3,951","1,385",,,,,,,,"56,061","5,337",,,"61,397 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mighty Scout Data @Bioptimizers IG - Media Value Rate | Period - over - Period - Total Number of Content Pieces | Period - over - Period,Total Number of Content Pieces | Period - over - Period,,,97%,-2256%,-31%,41%,-20%,-16%,47%,12%,-847%,64%,-13%,28%,38%,-203%,-27%,51%,29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-377%,-180%,17%,-185%,,,,,,,,,-950%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mighty Scout Data @Bioptimizers IG - Media Value Rate | Period - over - Period - CPE,CPE,,4.03,0.07,1.77,2.24,2.22,1.45,0.91,0.04,1.32,8.81,4.33,1.56,2.78,3.87,10.41,4.77,3.84,6.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07,0.93,4.37,5.72,6.10,,,,,,,,2.43,2.79,,,3.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mighty Scout Data @Bioptimizers IG - Media Value Rate | Period - over - Period - Total Number of Content Pieces | Period - over - Period,Total Number of Content Pieces | Period - over - Period,,,-5657%,96%,21%,-1%,-53%,-59%,-2175%,97%,85%,-103%,-178%,44%,28%,63%,-118%,-24%,37%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-122%,79%,24%,6%,,,,,,,,,13%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,